Fleeti Field,Telemetry Type,Navixy Fields,Bytes,Type,Value range Min,Value range Max,Multiplier,Units,Description
connectivity.cell.id,data,avl_io_205 (GSM Cell ID),,,,,,,
connectivity.cell.lac,data,avl_io_206 (GSM Area Code),,,,,,,
connectivity.data_mode,data,avl_io_80 (Data Mode),,,,,,,
connectivity.operator,data,avl_io_241 (Active GSM Operator),,,,,,,
connectivity.signal_level,data,avl_io_21 (GSM Signal),,,,,,,
connectivity.signal_level,data,gsm.signal.csq (GSM Signal CSQ),,,,,,,
connectivity.sim.iccid[],data,avl_io_11 (ICCID1),,,,,,,
connectivity.sim.iccid[],data,avl_io_14 (ICCID2),,,,,,,
counters.engine_hours,data,can_engine_hours_relative (can),,,,,,,
counters.engine_hours,data,avl_io_449 (Ignition On Counter),,,,,,,
counters.engine_hours,data,can_engine_hours (CAN Engine Hours),,,,,,,
counters.odometer,data,raw_mileage (Raw Mileage),,,,,,,
counters.odometer,data,can_mileage_relative (can),,,,,,,
counters.odometer,data,obd_custom_odometer (obd),,,,,,,
counters.odometer,data,avl_io_87 (Total Mileage),,,,,,,
counters.odometer,data,can_mileage (CAN Mileage),,,,,,,
counters.odometer,data,hw_mileage (Hardware Mileage),,,,,,,
counters.odometer,data,avl_io_389 (OBD OEM Total Mileage),,,,,,,
counters.odometer,data,avl_io_105 (Total Mileage (counted)),,,,,,,
counters.odometer,data,avl_io_16 (Total Odometer),,,,,,,
device.battery.current,data,avl_io_68 (Battery Current),,,,,,,
device.battery.current,data,battery_current (Battery Current),,,,,,,
device.battery.level,data,battery_level (Battery Level),,,,,,,
device.battery.level,data,avl_io_113 (Battery Level),,,,,,,
device.battery.voltage,data,avl_io_67 (Battery Voltage),,,,,,,
device.battery.voltage,data,battery_voltage (Battery Voltage),,,,,,,
device.bluetooth.status,data,avl_io_263 (BT Status),,,,,,,
device.firmware.version,data,avl_io_100 (Program Number),,,,,,,
device.identification.module_id_17b,data,avl_io_388 (Module ID 17B),,,,,,,
device.identification.module_id_8b,data,avl_io_101 (Module ID 8B),,,,,,,
device.power.connected,data,external_power_state (External Power),,,,,,,
device.power.voltage,data,avl_io_66 (External Voltage),,,,,,,
device.sleep_mode,data,avl_io_200 (Sleep Mode),,,,,,,
device.status_bitmap,data,status (Status),,,,,,,
diagnostics.agricultural.area_harvested,data,avl_io_126 (Area of Harvest),,,,,,,
diagnostics.agricultural.grain_moisture,data,avl_io_129 (Grain Moisture),,,,,,,
diagnostics.agricultural.grain_volume,data,avl_io_128 (Grain Mown Volume),,,,,,,
diagnostics.agricultural.harvesting_drum_gap,data,avl_io_131 (Gap Under Harvesting Drum),,,,,,,
diagnostics.agricultural.harvesting_drum_rpm,data,avl_io_130 (Harvesting Drum RPM),,,,,,,
diagnostics.axles.weights,data,can_axle_load_1 (CAN Axle Load 1),,,,,,,
diagnostics.axles.weights,data,can_axle_load_2 (CAN Axle Load 2),,,,,,,
diagnostics.axles.weights,data,can_axle_load_3 (CAN Axle Load 3),,,,,,,
diagnostics.axles.weights,data,can_axle_load_4 (CAN Axle Load 4),,,,,,,
diagnostics.axles.weights,data,can_axle_load_5 (CAN Axle Load 5),,,,,,,
diagnostics.axles.weights,data,avl_io_121 (Axle 4 Load),,,,,,,
diagnostics.axles.weights,data,avl_io_122 (Axle 5 Load),,,,,,,
diagnostics.axles.weights,data,avl_io_118 (Axle 1 Load),,,,,,,
diagnostics.axles.weights,data,avl_io_119 (Axle 2 Load),,,,,,,
diagnostics.axles.weights,data,avl_io_120 (Axle 3 Load),,,,,,,
diagnostics.body.belts.*,data,avl_io_940 (CSF Driver's Seatbelt Fastened),,,,,,,
diagnostics.body.belts.*,data,can_seat_belt_driver_state (can),,,,,,,
diagnostics.body.belts.*,data,can_rear_centre_seat_belt_state (CAN Rear Centre Seat Belt State),,,,,,,
diagnostics.body.belts.*,data,can_rear_left_seat_belt_state (CAN Rear Left Seat Belt State),,,,,,,
diagnostics.body.belts.*,data,can_rear_right_seat_belt_state (CAN Rear Right Seat Belt State),,,,,,,
diagnostics.body.belts.*,data,can_seat_belt_passenger_state (CAN Passenger Seat Belt State),,,,,,,
diagnostics.body.belts.*,data,avl_io_944 (CSF Centre Driver's Seatbelt Fastened),,,,,,,
diagnostics.body.belts.*,data,avl_io_941 (CSF Front Driver's Seatbelt Fastened),,,,,,,
diagnostics.body.belts.*,data,avl_io_942 (CSF Left Driver's Seatbelt Fastened),,,,,,,
diagnostics.body.belts.*,data,avl_io_943 (CSF Right Driver's Seatbelt Fastened),,,,,,,
diagnostics.body.doors.*,data,avl_io_90 (Door Status),,,,,,,
diagnostics.body.doors.*,data,can_front_right_door (can),,,,,,,
diagnostics.body.doors.*,data,can_rear_left_door (can),,,,,,,
diagnostics.body.doors.*,data,can_rear_right_door (can),,,,,,,
diagnostics.body.doors.*,data,can_trunk_state (can),,,,,,,
diagnostics.body.doors.*,data,can_door_state (can),,,,,,,
diagnostics.body.doors.*,data,can_front_left_door (CAN Front Left Door),,,,,,,
diagnostics.body.doors.*,data,can_hood_state (CAN Hood State),,,,,,,
diagnostics.body.doors.*,data,can_roof_state (CAN Roof State),,,,,,,
diagnostics.body.doors.*,data,avl_io_913 (SSF Engine Cover Open),,,,,,,
diagnostics.body.doors.*,data,avl_io_654 (SSF Front Left Door Open),,,,,,,
diagnostics.body.doors.*,data,avl_io_655 (SSF Front Right Door Open),,,,,,,
diagnostics.body.doors.*,data,avl_io_656 (SSF Rear Left Door Open),,,,,,,
diagnostics.body.doors.*,data,avl_io_657 (SSF Rear Right Door Open),,,,,,,
diagnostics.body.doors.*,data,avl_io_658 (SSF Trunk Door Open),,,,,,,
diagnostics.body.lights.*,data,can_front_fog_lights (CAN Front Fog Lights),,,,,,,
diagnostics.body.lights.*,data,can_additional_front_fog_lights (can),,,,,,,
diagnostics.body.lights.*,data,can_additional_rear_lights (can),,,,,,,
diagnostics.body.lights.*,data,can_full_beam_headlights (CAN Full Beam Headlights),,,,,,,
diagnostics.body.lights.*,data,avl_io_935 (CSF Light Signal),,,,,,,
diagnostics.body.lights.*,data,can_light_signal (CAN Light Signal),,,,,,,
diagnostics.body.lights.*,data,can_lights_failure (CAN Lights Failure),,,,,,,
diagnostics.body.lights.*,data,can_parking_lights (CAN Parking Lights),,,,,,,
diagnostics.body.lights.*,data,can_rear_fog_lights (CAN Rear Fog Lights),,,,,,,
diagnostics.body.lights.*,data,can_dipped_headlights (CAN Dipped Headlights),,,,,,,
diagnostics.brakes.abs_active,data,can_abs_state (CAN ABS State),,,,,,,
diagnostics.brakes.pad_wear,data,can_brake_pad_wear (CAN Brake Pad Wear),,,,,,,
diagnostics.brakes.parking_brake,data,can_hand_brake_state (CAN Hand Brake),,,,,,,
diagnostics.brakes.parking_brake,data,avl_io_653 (SSF Handbrake Is Active),,,,,,,
diagnostics.brakes.retarder_automatic,data,can_automatic_retarder (CAN Automatic Retarder),,,,,,,
diagnostics.brakes.retarder_manual,data,can_manual_retarder (CAN Manual Retarder),,,,,,,
diagnostics.climate.air_conditioning,data,avl_io_936 (CSF Air Conditioning),,,,,,,
diagnostics.climate.air_conditioning,data,can_air_conditioning (can),,,,,,,
diagnostics.drivetrain.central_differential_4hi_locked,data,can_central_diff_4hi_locked (CAN Central Diff 4HI Locked),,,,,,,
diagnostics.drivetrain.central_differential_4lo_locked,data,can_central_diff_4lo_locked (CAN Central Diff 4LO Locked),,,,,,,
diagnostics.drivetrain.clutch_state,data,can_clutch_state (CAN Clutch State),,,,,,,
diagnostics.drivetrain.front_differential_locked,data,can_front_diff_locked (CAN Front Diff Locked),,,,,,,
diagnostics.drivetrain.front_differential_locked,data,avl_io_947 (CSF Front Differential Locked),,,,,,,
diagnostics.drivetrain.rear_differential_locked,data,can_rear_diff_locked (CAN Rear Diff Locked),,,,,,,
diagnostics.drivetrain.rear_differential_locked,data,avl_io_948 (CSF Rear Differential Locked),,,,,,,
diagnostics.electrical.battery_not_charging,data,avl_io_960 (ISF Battery Not Charging Indicator),,,,,,,
diagnostics.engine.coolant_temperature,data,can_coolant_temp_or_level (vehicle_health),,,,,,,
diagnostics.engine.glow_plug_active,data,can_glow_plug_indicator (CAN Glow Plug Indicator),,,,,,,
diagnostics.engine.load,data,can_engine_load (CAN Engine Load),,,,,,,
diagnostics.engine.load,data,avl_io_114 (Engine Load),,,,,,,
diagnostics.engine.pto_state,data,can_pto_state (CAN PTO State),,,,,,,
diagnostics.engine.ready_to_drive,data,can_ready_to_drive (CAN Ready to Drive),,,,,,,
diagnostics.engine.rpm,data,avl_io_36 (Engine RPM),,,,,,,
diagnostics.engine.rpm,data,avl_io_85 (Engine RPM),,,,,,,
diagnostics.engine.rpm,data,can_rpm (CAN Engine RPM),,,,,,,
diagnostics.engine.rpm,data,obd_rpm (OBD RPM),,,,,,,
diagnostics.engine.start_stop_active,data,avl_io_1086 (CSF Start Stop System Inactive),,,,,,,
diagnostics.engine.temperature,data,can_engine_temp (CAN Engine Temp),,,,,,,
diagnostics.engine.temperature,data,avl_io_115 (Engine Temperature),,,,,,,
diagnostics.engine.webasto_state,data,can_webasto_state (CAN Webasto State),,,,,,,
diagnostics.fluids.adblue.level_liters,data,avl_io_112 (AdBlue Level),,,,,,,
diagnostics.fluids.adblue_level,data,avl_io_111 (AdBlue Level),,,,,,,
diagnostics.fluids.adblue_level,data,can_adblue_level (CAN AdBlue Level),,,,,,,
diagnostics.fluids.oil_level,data,avl_io_235 (Oil Level),,,,,,,
diagnostics.fluids.oil_pressure_or_level,data,can_oil_pressure_or_level (vehicle_health),,,,,,,
diagnostics.health.can_warning,data,can_warning (CAN Warning),,,,,,,
diagnostics.health.dtc_count,data,obd_dtc_number (OBD DTC Count),,,,,,,
diagnostics.health.dtc_count,data,avl_io_30 (Number of DTC),,,,,,,
