AVL ID,Parameter Name,flespi Parameter Path,Data Type,Units,Description,Notes / Source
1,din,din,number,N/A,Digital inputs bitmask,"flespi Teltonika protocol page, last retrieved 2025-11-28"
1,din,din,number,N/A,Digital inputs bitmask,"flespi Teltonika protocol page, last retrieved 2025-11-28"
1,din,din,number,N/A,Digital inputs bitmask,"flespi Teltonika protocol page, last retrieved 2025-11-28"
2,din,din,number,N/A,Digital inputs bitmask,"flespi Teltonika protocol page, last retrieved 2025-11-28"
2,din,din,number,N/A,Digital inputs bitmask,"flespi Teltonika protocol page, last retrieved 2025-11-28"
2,din,din,number,N/A,Digital inputs bitmask,"flespi Teltonika protocol page, last retrieved 2025-11-28"
3,din,din,number,N/A,Digital inputs bitmask,"flespi Teltonika protocol page, last retrieved 2025-11-28"
3,din,din,number,N/A,Digital inputs bitmask,"flespi Teltonika protocol page, last retrieved 2025-11-28"
4,counter.impulses,counter.impulses,number,N/A,Impulses counter,"flespi Teltonika protocol page, last retrieved 2025-11-28"
4,counter.impulses,counter.impulses,number,N/A,Impulses counter,"flespi Teltonika protocol page, last retrieved 2025-11-28"
4,din,din,number,N/A,Digital inputs bitmask,"flespi Teltonika protocol page, last retrieved 2025-11-28"
4,din,din,number,N/A,Digital inputs bitmask,"flespi Teltonika protocol page, last retrieved 2025-11-28"
5,counter.impulses,counter.impulses,number,N/A,Impulses counter,"flespi Teltonika protocol page, last retrieved 2025-11-28"
5,onewire.sensor.serial,onewire.sensor.serial,string,N/A,External 1-Wire sensor serial number in HEX representation,"flespi Teltonika protocol page, last retrieved 2025-11-28"
6,ain,ain,number,volts,Voltage on the analog input,"flespi Teltonika protocol page, last retrieved 2025-11-28"
6,sensor.temperature,sensor.temperature,number,celsius,Temperature sensor value,"flespi Teltonika protocol page, last retrieved 2025-11-28"
7,onewire.sensor.serial,onewire.sensor.serial,string,N/A,External 1-Wire sensor serial number in HEX representation,"flespi Teltonika protocol page, last retrieved 2025-11-28"
8,sensor.temperature,sensor.temperature,number,celsius,Temperature sensor value,"flespi Teltonika protocol page, last retrieved 2025-11-28"
9,ain,ain,number,volts,Voltage on the analog input,"flespi Teltonika protocol page, last retrieved 2025-11-28"
9,ain,ain,number,volts,Voltage on the analog input,"flespi Teltonika protocol page, last retrieved 2025-11-28"
10,ain,ain,number,volts,Voltage on the analog input,"flespi Teltonika protocol page, last retrieved 2025-11-28"
10,ain,ain,number,volts,Voltage on the analog input,"flespi Teltonika protocol page, last retrieved 2025-11-28"
10,sd.status,sd.status,boolean,N/A,SD status presence,"flespi Teltonika protocol page, last retrieved 2025-11-28"
11,ain,ain,number,volts,Voltage on the analog input,"flespi Teltonika protocol page, last retrieved 2025-11-28"
11,gsm.sim.iccid,gsm.sim.iccid,string,N/A,"Integrated Circuit Card Id of SIM card of the Mobile network (GSM, 3G, 4G, LTE, 5G, ...)","flespi Teltonika protocol page, last retrieved 2025-11-28"
12,can.program.id,can.program.id,number,N/A,CAN program number,"flespi Teltonika protocol page, last retrieved 2025-11-28"
12,gps.fuel.used,gps.fuel.used,number,liters,GPS-based fuel used,"flespi Teltonika protocol page, last retrieved 2025-11-28"
13,can.module.id,can.module.id,number,N/A,CAN module ID,"flespi Teltonika protocol page, last retrieved 2025-11-28"
13,gps.fuel.rate,gps.fuel.rate,number,liters/h,GPS-based fuel rate,"flespi Teltonika protocol page, last retrieved 2025-11-28"
14,can.engine.motorhours,can.engine.motorhours,number,hours,Total engine motorhours (engine work time) read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
14,gsm.sim.iccid,gsm.sim.iccid,string,N/A,"Integrated Circuit Card Id of SIM card of the Mobile network (GSM, 3G, 4G, LTE, 5G, ...)","flespi Teltonika protocol page, last retrieved 2025-11-28"
15,can.engine.motorhours,can.engine.motorhours,number,hours,Total engine motorhours (engine work time) read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
15,eco.driving.events.number,eco.driving.events.number,number,N/A,Average amount of events on some distance,"flespi Teltonika protocol page, last retrieved 2025-11-28"
16,can.tracker.counted.mileage,can.tracker.counted.mileage,number,km,CAN-bus mileage counted by tracker after plug in,"flespi Teltonika protocol page, last retrieved 2025-11-28"
16,vehicle.mileage,vehicle.mileage,number,km,Total calculated mileage,"flespi Teltonika protocol page, last retrieved 2025-11-28"
17,can.fuel.consumed,can.fuel.consumed,number,liters,Fuel volume totally consumed by vehicle read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
17,x.acceleration,x.acceleration,number,g,Accelerometer value X,"flespi Teltonika protocol page, last retrieved 2025-11-28"
18,segment.can.fuel.consumed,segment.can.fuel.consumed,number,liters,Fuel volume consumed by vehicle on the last segment using CAN data,"flespi Teltonika protocol page, last retrieved 2025-11-28"
18,y.acceleration,y.acceleration,number,g,Accelerometer value Y,"flespi Teltonika protocol page, last retrieved 2025-11-28"
19,ain,ain,number,volts,Voltage on the analog input,"flespi Teltonika protocol page, last retrieved 2025-11-28"
19,can.adblue.level,can.adblue.level,number,percentage,AdBlue (diesel exhaust fluid) level read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
19,z.acceleration,z.acceleration,number,g,Accelerometer value Z,"flespi Teltonika protocol page, last retrieved 2025-11-28"
20,ble.sensor.battery.level,ble.sensor.battery.level,number,percentage,BLE (Bluetooth Low Energy) sensor battery level,"flespi Teltonika protocol page, last retrieved 2025-11-28"
20,ble.sensor.battery.voltage,ble.sensor.battery.voltage,number,volts,BLE (Bluetooth Low Energy) sensor battery voltage,"flespi Teltonika protocol page, last retrieved 2025-11-28"
20,can.adblue.volume,can.adblue.volume,number,liters,AdBlue (diesel exhaust fluid) volume read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
21,gsm.signal.level,gsm.signal.level,number,percentage,"Mobile network (GSM, 3G, 4G, LTE, 5G, ...) signal strength level","flespi Teltonika protocol page, last retrieved 2025-11-28"
