Field Name,Field Path,Category,Priority,Field Type,Structure Type,JSON Structure,Data Type,Unit,Description,Computation Approach,Status,Version Added,WebSocket Contracts,REST API Endpoints,Dependencies,Notes
last_updated_at,last_updated_at,metadata,P0,calculated,simple_value,"""example""",string,,"Unix Epoch timestamp (milliseconds, number) when Fleeti backend last received any telemetry packet from this asset. Indicates telemetry freshness. Used for connectivity status computation and ""last contact"" displays. Same value as `provider.time.fleeti_time`.",Set to provider.time.fleeti_time when packet is received,active,1.0.0,,,provider.time.fleeti_time,
asset_id,asset.id,metadata,P0,asset_integrated,simple_value,"""uuid""",string,,Primary asset identifier,Fleeti Asset service,active,1.0.0,,,,
asset_name,asset.name,metadata,P0,asset_integrated,simple_value,"""string""",string,,Human-friendly asset label,Fleeti Asset service,active,1.0.0,,,,
asset_type,asset.type,metadata,P0,asset_integrated,simple_value,10,number,,"Type enum (vehicle, equipment, site, phone)",Fleeti Asset service,active,1.0.0,,,,
asset_subtype,asset.subtype,metadata,P0,asset_integrated,simple_value,110,number,,"Subtype enum (car, truck, cold_room, etc.)",Fleeti Asset service,active,1.0.0,,,,
asset_group_id,asset.group.id,metadata,P0,direct,simple_value,"""uuid""",string,,Primary group identifier,Asset grouping service,active,1.0.0,,,,
asset_group_name,asset.group.name,metadata,P0,direct,simple_value,"""string""",string,,Primary group name,Asset grouping service,active,1.0.0,,,,
asset_customer_ref,asset.customer_ref,metadata,P0,direct,simple_value,"""2010-010""",string,,"Reference code identifying the customer/tenant (e.g., `2010-010`)",Customer registry,active,1.0.0,,,,
asset_accessories_id,asset.accessories[].id,metadata,P1,direct,simple_value,"""uuid""",string,,Unique accessory identifier,Accessory registry,active,1.0.0,,,,
asset_accessories_type_id,asset.accessories[].type_id,metadata,P1,direct,simple_value,1,number,,Accessory type numeric ID,Accessory registry,active,1.0.0,,,,
asset_accessories_type_code,asset.accessories[].type_code,metadata,P1,direct,simple_value,"""immobilizer""",string,,"Accessory type code (immobilizer, temperature, fuel_level, etc.)",Accessory registry,active,1.0.0,,,,
asset_accessories_connection,asset.accessories[].connection,metadata,P3,transformed,simple_value,"""wire""",string,,"Connection type (wire, bluetooth, wifi)",Installation metadata,active,1.0.0,,,,
