Name,Category,Computation Approach,Data Type,Dependencies,Description,Field Path,Field Type,JSON Structure,Notes,Priority,REST API Endpoints,Status,Structure Type,Unit,Version Added,WebSocket Contracts,💽 Provider Field (db)
location_latitude,location,(Latitude),number,"location_geocoded_address (https://www.notion.so/location_geocoded_address-2ca3e766c901811f8982c8d979b795b3?pvs=21), location_last_changed_at (https://www.notion.so/location_last_changed_at-2ca3e766c901819f990ee8b9e2447410?pvs=21)",Latitude in decimal degrees,location.latitude,direct,"""decimal degrees (-90 to 90)""",,P0,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,simple_value,degrees,1.0.0,"live.asset.details, live.map.markers",lat (https://www.notion.so/lat-2c73e766c901812bb29fdd17260022c1?pvs=21)
location_longitude,location,(Longitude),number,"location_geocoded_address (https://www.notion.so/location_geocoded_address-2ca3e766c901811f8982c8d979b795b3?pvs=21), location_last_changed_at (https://www.notion.so/location_last_changed_at-2ca3e766c901819f990ee8b9e2447410?pvs=21)",Longitude in decimal degrees,location.longitude,direct,"""decimal degrees (-180 to 180)""",,P0,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,simple_value,degrees,1.0.0,"live.asset.details, live.map.markers",lng (https://www.notion.so/lng-2c73e766c90181908795d204fb2d7e0e?pvs=21)
location_altitude,location,(Altitude),number,,Altitude in meters,location.altitude,direct,"""meters above sea level""",,P2,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,simple_value,meters,1.0.0,live.asset.details,alt (https://www.notion.so/alt-2c73e766c90181d3ab40d01bbd630c14?pvs=21)
location_heading,location,(Heading),number,location_cardinal_direction (https://www.notion.so/location_cardinal_direction-2ca3e766c9018173a9efe4bfbd957016?pvs=21),Heading in degrees (0-359),location.heading,direct,"""degrees (0-359, 0=North)""",,P0,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,simple_value,degrees,1.0.0,"live.asset.details, live.map.markers",heading (https://www.notion.so/heading-2c73e766c901812c80d1fec777d9e06e?pvs=21)
location_cardinal_direction,location,"Derived from location.heading
dirs = [""N"",""NE"",""E"",""SE"",""S"",""SW"",""W"",""NW""];
cardinal = dirs[Math.floor((heading + 22.5) % 360 / 45)];
",string,location_heading (https://www.notion.so/location_heading-2ca3e766c901813a9f0ce33be59ecb26?pvs=21),"Cardinal direction (N, NE, E, SE, S, SW, W, NW)",location.cardinal_direction,calculated,"""string (N, NE, E, SE, S, SW, W, NW)""",,P1,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,simple_value,none,1.0.0,live.asset.details,
location_geocoded_address,location,Use external API (Google) to convert latitude and longitude into geocoded address.,string,"location_latitude (https://www.notion.so/location_latitude-2ca3e766c9018183a4bee9dc39aca7e4?pvs=21), location_longitude (https://www.notion.so/location_longitude-2ca3e766c9018187a2d5f688c85c2e55?pvs=21)",Single string representation of the location,location.geocoded_address,calculated,"""string""",,P1,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,simple_value,none,1.0.0,live.asset.details,
location_last_changed_at,location,"Backend compares current position with previous.
if (lat !== prev.lat || lon !== prev.lon) {
location_last_changed_at= now();
}
",datetime,"location_latitude (https://www.notion.so/location_latitude-2ca3e766c9018183a4bee9dc39aca7e4?pvs=21), location_longitude (https://www.notion.so/location_longitude-2ca3e766c9018187a2d5f688c85c2e55?pvs=21)","Unix Epoch timestamp (milliseconds, number) when location/heading last changed significantly (threshold applied to filter GPS noise). Used for dwell-time calculations and ""parked since X"" features.",location.last_changed_at,calculated,"""number""",,P1,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,simple_value,none,1.0.0,live.asset.details,
location_precision_fix_quality,location,(GNSS Status),number,,"0 - GNSS OFF 1 – GNSS ON with fix 2 - GNSS ON without fix 3 - GNSS sleep 4 - GNSS ON with fix, invalid data",location.precision.fix_quality,direct,"""integer (0=no fix, 1=fix)""",,T,/telemetry (FLEETI),inactive,simple_value,none,1.0.0,,avl_io_69 (https://www.notion.so/avl_io_69-2c73e766c901815089c2e5d586571ddc?pvs=21)
location_precision_hdop,location,hdop>avl_io_182,number,,Horizontal Dilution of Precision,location.precision.hdop,direct,"""decimal (-1 to 20, -1=unknown)""",,T,/telemetry (FLEETI),inactive,simple_value,none,1.0.0,,"hdop (https://www.notion.so/hdop-2c73e766c90181b2bbb5d3b9897da50b?pvs=21), avl_io_182 (https://www.notion.so/avl_io_182-2c73e766c9018174bfa4ede8516cb088?pvs=21)"
location_precision_pdop,location,pdop>avl_io_181,number,,Position Dilution of Precision,location.precision.pdop,direct,"""decimal""",,T,/telemetry (FLEETI),inactive,simple_value,none,1.0.0,,"pdop (https://www.notion.so/pdop-2c73e766c9018142a3c2d1eacaf15871?pvs=21), avl_io_181 (https://www.notion.so/avl_io_181-2c73e766c901812fa834e5dee8092548?pvs=21)"
location_precision_satellites,location,(Satellites Number),number,,Number of satellites in fix,location.precision.satellites,direct,"""integer (0-32)""",,T,/telemetry (FLEETI),inactive,simple_value,none,1.0.0,,satellites (https://www.notion.so/satellites-2c73e766c901817bb6c8f212f06b6869?pvs=21)
