Name,Category,Computation Approach,Computation Structure JSON,Data Type,Dependencies,Description,Field Path,Field Type,JSON Structure,Mapping Fields (db),Notes,Priority,REST API Endpoints,Status,Structure Type,Unit,Version Added,WebSocket Contracts,💽 Provider Field (db)
location_latitude,location,Direct mapping from Navixy: lat (path: lat) - Latitude in decimal degrees from Navixy,"""location_latitude"": [
{
""priority"": 1,
""type"": ""direct"",
""source_type"": ""provider"",
""provider"": ""navixy"",
""field"": ""lat"",
""path"": ""lat"",
""description"": ""Latitude in decimal degrees from Navixy""
}
]",number,"location_geocoded_address (https://www.notion.so/location_geocoded_address-2ca3e766c901811f8982c8d979b795b3?pvs=21), location_last_changed_at (https://www.notion.so/location_last_changed_at-2ca3e766c901819f990ee8b9e2447410?pvs=21)",Latitude in decimal degrees,location.latitude,direct,"""decimal degrees (-90 to 90)""",location.latitude from Navixy (https://www.notion.so/location-latitude-from-Navixy-2cc3e766c90181aab715e7dd7d47e94d?pvs=21),,P0,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,simple_value,degrees,1.0.0,"live.asset.details, live.map.markers",lat (https://www.notion.so/lat-2c73e766c901812bb29fdd17260022c1?pvs=21)
location_longitude,location,Direct mapping from Navixy: lng (path: lng) - Longitude in decimal degrees from Navixy,"""location_longitude"": [
{
""priority"": 1,
""type"": ""direct"",
""source_type"": ""provider"",
""provider"": ""navixy"",
""field"": ""lng"",
""path"": ""lng"",
""description"": ""Longitude in decimal degrees from Navixy""
}
]",number,"location_geocoded_address (https://www.notion.so/location_geocoded_address-2ca3e766c901811f8982c8d979b795b3?pvs=21), location_last_changed_at (https://www.notion.so/location_last_changed_at-2ca3e766c901819f990ee8b9e2447410?pvs=21)",Longitude in decimal degrees,location.longitude,direct,"""decimal degrees (-180 to 180)""",location.longitude from Navixy (https://www.notion.so/location-longitude-from-Navixy-2cc3e766c90181c7b4aff8e76fed0376?pvs=21),,P0,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,simple_value,degrees,1.0.0,"live.asset.details, live.map.markers",lng (https://www.notion.so/lng-2c73e766c90181908795d204fb2d7e0e?pvs=21)
location_altitude,location,Direct mapping from Navixy: alt (path: alt) - Altitude in meters from Navixy,"""location_altitude"": [
{
""priority"": 1,
""type"": ""direct"",
""source_type"": ""provider"",
""provider"": ""navixy"",
""field"": ""alt"",
""path"": ""alt"",
""description"": ""Altitude in meters from Navixy""
}
]",number,,Altitude in meters,location.altitude,direct,"""meters above sea level""",location.altitude from Navixy (https://www.notion.so/location-altitude-from-Navixy-2cc3e766c9018182a9a6d381bd055920?pvs=21),,P2,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,simple_value,meters,1.0.0,live.asset.details,alt (https://www.notion.so/alt-2c73e766c90181d3ab40d01bbd630c14?pvs=21)
location_heading,location,Direct mapping from Navixy: heading (path: heading) - Heading in degrees (0-359) from Navixy,"""location_heading"": [
{
""priority"": 1,
""type"": ""direct"",
""source_type"": ""provider"",
""provider"": ""navixy"",
""field"": ""heading"",
""path"": ""heading"",
""description"": ""Heading in degrees (0-359) from Navixy""
}
]",number,location_cardinal_direction (https://www.notion.so/location_cardinal_direction-2ca3e766c9018173a9efe4bfbd957016?pvs=21),Heading in degrees (0-359),location.heading,direct,"""degrees (0-359, 0=North)""",location.heading from Navixy (https://www.notion.so/location-heading-from-Navixy-2cc3e766c901819f9581e5658144da0e?pvs=21),,P0,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,simple_value,degrees,1.0.0,"live.asset.details, live.map.markers",heading (https://www.notion.so/heading-2c73e766c901812c80d1fec777d9e06e?pvs=21)
location_cardinal_direction,location,"Calculated: derive from location_heading using derive_cardinal_direction function. Converts heading (0-359 degrees) to cardinal direction (N, NE, E, SE, S, SW, W, NW).

Pseudo code:
dirs = ['N', 'NE', 'E', 'SE', 'S', 'SW', 'W', 'NW']
index = Math.floor((location_heading + 22.5) % 360 / 45)
cardinal_direction = dirs[index]","""location_cardinal_direction"": [
{
""priority"": 1,
""type"": ""calculated"",
""calculation_type"": ""function_reference"",
""function"": ""derive_cardinal_direction"",
""parameters"": {
""fleeti"": [
""location_heading""
]
},
""description"": ""Derived from location.heading""
}
]",string,location_heading (https://www.notion.so/location_heading-2ca3e766c901813a9f0ce33be59ecb26?pvs=21),"Cardinal direction (N, NE, E, SE, S, SW, W, NW)",location.cardinal_direction,calculated,"""string (N, NE, E, SE, S, SW, W, NW)""",location.cardinal_direction from Navixy (https://www.notion.so/location-cardinal_direction-from-Navixy-2cc3e766c9018188a435e737e5513e4b?pvs=21),,P1,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,simple_value,none,1.0.0,live.asset.details,
location_geocoded_address,location,"Calculated: derive from location_latitude and location_longitude using derive_geocoded_address function. Uses external API (Google) to convert latitude and longitude coordinates into a geocoded address string.

Pseudo code:
coordinates = { lat: location_latitude, lng: location_longitude }
geocoded_address = callGoogleGeocodingAPI(coordinates)
return geocoded_address","""location_geocoded_address"": [
{
""priority"": 1,
""type"": ""calculated"",
""calculation_type"": ""function_reference"",
""function"": ""derive_geocoded_address"",
""parameters"": {
""fleeti"": [
""location_latitude"",
""location_longitude""
]
},
""description"": ""Use external API (Google) to convert latitude and longitude into geocoded address""
}
]",string,"location_latitude (https://www.notion.so/location_latitude-2ca3e766c9018183a4bee9dc39aca7e4?pvs=21), location_longitude (https://www.notion.so/location_longitude-2ca3e766c9018187a2d5f688c85c2e55?pvs=21)",Single string representation of the location,location.geocoded_address,calculated,"""string""",location.geocoded_address from Navixy (https://www.notion.so/location-geocoded_address-from-Navixy-2cc3e766c9018110ab8ee1bb1e461427?pvs=21),,P1,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,simple_value,none,1.0.0,live.asset.details,
location_last_changed_at,location,"Calculated: derive from location_latitude and location_longitude using derive_last_changed_at function. Backend compares current position with previous position. If latitude or longitude changed (threshold applied to filter GPS noise), sets timestamp to now(). Used for dwell-time calculations and 'parked since X' features.

Pseudo code:
if (current.lat !== previous.lat || current.lng !== previous.lng) {
  distance = calculateDistance(current, previous)
  if (distance > threshold) {
    location_last_changed_at = now()
  }
}","""location_last_changed_at"": [
{
""priority"": 1,
""type"": ""calculated"",
""calculation_type"": ""function_reference"",
""function"": ""derive_last_changed_at"",
""parameters"": {
""fleeti"": [
""location_latitude"",
""location_longitude""
]
},
""description"": ""Backend compares current position with previous. If location changed, set timestamp to now()""
}
]",datetime,"location_latitude (https://www.notion.so/location_latitude-2ca3e766c9018183a4bee9dc39aca7e4?pvs=21), location_longitude (https://www.notion.so/location_longitude-2ca3e766c9018187a2d5f688c85c2e55?pvs=21)","Unix Epoch timestamp (milliseconds, number) when location/heading last changed significantly (threshold applied to filter GPS noise). Used for dwell-time calculations and ""parked since X"" features.",location.last_changed_at,calculated,"""number""",location.last_changed_at from Navixy (https://www.notion.so/location-last_changed_at-from-Navixy-2cc3e766c9018157b2afdcabb264880f?pvs=21),,P1,"/telemetry (CUSTOMER), /telemetry (FLEETI)",inactive,simple_value,none,1.0.0,live.asset.details,
location_precision_fix_quality,location,"Direct mapping from Navixy: avl_io_69 (path: params.avl_io_69) - GNSS Status: 0 - GNSS OFF, 1 – GNSS ON with fix, 2 - GNSS ON without fix, 3 - GNSS sleep, 4 - GNSS ON with fix, invalid data","""location_precision_fix_quality"": [
{
""priority"": 1,
""type"": ""direct"",
""source_type"": ""provider"",
""provider"": ""navixy"",
""field"": ""avl_io_69"",
""path"": ""params.avl_io_69"",
""description"": ""GNSS Status: 0 - GNSS OFF, 1 – GNSS ON with fix, 2 - GNSS ON without fix, 3 - GNSS sleep, 4 - GNSS ON with fix, invalid data""
}
]",number,,"0 - GNSS OFF 1 – GNSS ON with fix 2 - GNSS ON without fix 3 - GNSS sleep 4 - GNSS ON with fix, invalid data",location.precision.fix_quality,direct,"""integer (0=no fix, 1=fix)""",location.precision.fix_quality from Navixy (https://www.notion.so/location-precision-fix_quality-from-Navixy-2cc3e766c90181219d44dd9ecd3bc09e?pvs=21),,T,/telemetry (FLEETI),inactive,simple_value,none,1.0.0,,avl_io_69 (https://www.notion.so/avl_io_69-2c73e766c901815089c2e5d586571ddc?pvs=21)
location_precision_hdop,location,"Prioritized: Navixy hdop (path: hdop, priority 1), then Navixy avl_io_182 (path: params.avl_io_182, priority 2) - Horizontal Dilution of Precision","""location_precision_hdop"": [
{
""priority"": 1,
""type"": ""direct"",
""source_type"": ""provider"",
""provider"": ""navixy"",
""field"": ""hdop"",
""path"": ""hdop"",
""description"": ""Horizontal Dilution of Precision from hdop field""
},
{
""priority"": 2,
""type"": ""direct"",
""source_type"": ""provider"",
""provider"": ""navixy"",
""field"": ""avl_io_182"",
""path"": ""params.avl_io_182"",
""description"": ""Horizontal Dilution of Precision from avl_io_182""
}
]",number,,Horizontal Dilution of Precision,location.precision.hdop,direct,"""decimal (-1 to 20, -1=unknown)""",location.precision.hdop from Navixy (https://www.notion.so/location-precision-hdop-from-Navixy-2cc3e766c90181128608da5ce24be86c?pvs=21),,T,/telemetry (FLEETI),inactive,simple_value,none,1.0.0,,"hdop (https://www.notion.so/hdop-2c73e766c90181b2bbb5d3b9897da50b?pvs=21), avl_io_182 (https://www.notion.so/avl_io_182-2c73e766c9018174bfa4ede8516cb088?pvs=21)"
location_precision_pdop,location,"Prioritized: Navixy pdop (path: pdop, priority 1), then Navixy avl_io_181 (path: params.avl_io_181, priority 2) - Position Dilution of Precision","""location_precision_pdop"": [
{
""priority"": 1,
""type"": ""direct"",
""source_type"": ""provider"",
""provider"": ""navixy"",
""field"": ""pdop"",
""path"": ""pdop"",
""description"": ""Position Dilution of Precision from pdop field""
},
{
""priority"": 2,
""type"": ""direct"",
""source_type"": ""provider"",
""provider"": ""navixy"",
""field"": ""avl_io_181"",
""path"": ""params.avl_io_181"",
""description"": ""Position Dilution of Precision from avl_io_181""
}
]",number,,Position Dilution of Precision,location.precision.pdop,direct,"""decimal""",location.precision.pdop from Navixy (https://www.notion.so/location-precision-pdop-from-Navixy-2cc3e766c90181859797c2b8c56c4f4f?pvs=21),,T,/telemetry (FLEETI),inactive,simple_value,none,1.0.0,,"pdop (https://www.notion.so/pdop-2c73e766c9018142a3c2d1eacaf15871?pvs=21), avl_io_181 (https://www.notion.so/avl_io_181-2c73e766c901812fa834e5dee8092548?pvs=21)"
