Field Name,Field Path,Category,Priority,Field Type,Structure Type,JSON Structure,Data Type,Unit,Description,Computation Approach,Status,Version Added,WebSocket Contracts,REST API Endpoints,Dependencies,Notes
asset_installation_initial_engine_hours_last_updated_at,asset.installation.initial_engine_hours.last_updated_at,metadata,BL,calculated,simple_value,"""number""",string,,"Unix Epoch timestamp (milliseconds, number) when `initial_engine_hours.value` was last updated. Used to track installation metadata changes and audit trail.",Backend compares current initial_engine_hours.value with previous,active,1.0.0,,,initial_engine_hours.value,
asset_installation_initial_engine_hours_unit,asset.installation.initial_engine_hours.unit,metadata,BL,transformed,simple_value,"""h""",string,h,"Unit for engine hours value (always ""h"")",Installation metadata,active,1.0.0,,,,
asset_installation_initial_engine_hours_value,asset.installation.initial_engine_hours.value,metadata,BL,transformed,simple_value,4200,number,h,Engine hours reading at time of installation (offset). Measured in hours.,Installation metadata,active,1.0.0,,,,
asset_installation_initial_odometer_last_updated_at,asset.installation.initial_odometer.last_updated_at,metadata,BL,calculated,simple_value,"""number""",string,,"Unix Epoch timestamp (milliseconds, number) when `initial_odometer.value` was last updated. Used to track installation metadata changes and audit trail.",Backend compares current initial_odometer.value with previous,active,1.0.0,,,initial_odometer.value,
asset_installation_initial_odometer_unit,asset.installation.initial_odometer.unit,metadata,BL,transformed,simple_value,"""km""",string,km,"Unit for odometer value (always ""km"")",Installation metadata,active,1.0.0,,,,
asset_installation_initial_odometer_value,asset.installation.initial_odometer.value,metadata,BL,transformed,simple_value,154000,number,,Odometer reading at time of installation (offset). Measured in kilometers.,Installation metadata,active,1.0.0,,,,
asset_properties_vehicle_powertrain_fuel_tank_capacity,asset.properties.vehicle.powertrain.fuel_tank_capacity,metadata,P1,asset_integrated,value_unit_object,"{""value"":600,""unit"":""l""}",object,l,"Nominal fuel tank size - `{ value: number, unit: ""l"" }`",Fleeti catalog,active,1.0.0,,,,
counters_engine_hours,counters.engine_hours,counters,P1,aggregated,value_unit_object,"{""value"":""number"",""unit"":""h""}",object,h,"Total engine work time. Unit conversion may be required (some sources in seconds, others in hours).","(CAN Engine Hours), can_engine_hours_relative, avl_io_449 (Ignition On Counter), avl_io_102 (Engine Worktime)",active,1.0.0,,,,
counters_odometer,counters.odometer,counters,P1,aggregated,value_unit_object,"{""value"":""number"",""unit"":""km""}",object,km,Total Vehicle Mileage,"(CAN Mileage), can_mileage_relative, avl_io_389 (OBD OEM Total Mileage), obd_custom_odometer, avl_io_105 (Total Mileage (counted)), avl_io_16 (Total Odometer), avl_io_87 (Total Mileage), hw_mileage (Hardware Mileage), raw_mileage (Raw Mileage)",active,1.0.0,,,,
device_battery_current,device.battery.current,device,T,direct,value_unit_object,"{""value"":""number"",""unit"":""A""}",object,A,Device internal battery current. Measured in amperes (A).,"(Battery Current), battery_current (Battery Current)",active,1.0.0,,,,
driver_authorization_state,driver.authorization.state,driver,T,direct,simple_value,"""integer (0-2)""",string,,"iButton connection status in immobilizer context. Values: 0 = iButton not connected, 1 = iButton connected (Immobilizer active), 2 = iButton connected (Authorized Driving). Note: Field name is ""Immobilizer"" but represents iButton authorization state.",(Immobilizer),active,1.0.0,,,,
driver_hardware_key_extended_id,driver.hardware_key.extended_id,driver,?,direct,simple_value,"""string | null""",string,,MAC address of NMEA receiver device connected via Bluetooth. Usefulness for driver identification is still being evaluated (TBD). May be `null` if not available.,(User ID),active,1.0.0,,,,TBD - To Be Determined
driver_hardware_key_value,driver.hardware_key.value,driver,BL,asset_integrated,simple_value,"""string""",string,,Hardware key identifier as hex string. Can be iButton or RFID code. Backend determines key type based on device model and signal characteristics. Used to lookup driver in Fleeti catalog.,"(iButton), avl_io_207 (RFID), ibutton (iButton ID)",active,1.0.0,,,,
driver_id_last_changed_at,driver.id.last_changed_at,driver,P1,calculated,simple_value,"""number""",string,,"Unix Epoch timestamp (milliseconds, number) when `driver.id.value` last changed. Used to show driver-vehicle association timeline and determine which driver was responsible at time of events.",Backend compares current id.value with previous,active,1.0.0,,,"driver.id.value, id.value",
driver_id_value,driver.id.value,driver,P1,calculated,simple_value,"""string | null""",string,,Fleeti driver ID from catalog. `null` if hardware key is not found in catalog (unknown driver).,Lookup hardware_key.value in Fleeti driver catalog,active,1.0.0,,,hardware_key.value,
driver_name,driver.name,driver,P1,calculated,simple_value,"""string | null""",string,,Driver name from catalog. `null` if hardware key is not found in catalog (unknown driver).,Lookup hardware_key.value in Fleeti driver catalog,active,1.0.0,,,hardware_key.value,
driver_privacy_mode_last_changed_at,driver.privacy_mode.last_changed_at,driver,P1,calculated,simple_value,"""number""",string,,"Unix Epoch timestamp (milliseconds, number) when `driver.privacy_mode.value` last changed. Used to show ""private mode active since X"" and separate private vs business time in reports.",Backend compares current privacy_mode.value with previous,active,1.0.0,,,"driver.privacy_mode.value, privacy_mode.value",
driver_privacy_mode_value,driver.privacy_mode.value,driver,P1,direct,simple_value,"""boolean""",string,,"Private mode state. Values: 0 = Private mode off, 1 = Private mode on. Driver setting that indicates whether the driver has activated private/work mode.",(Private mode),active,1.0.0,,,,
fuel_consumption_cumulative,fuel.consumption.cumulative,fuel,P1,aggregated,simple_value,"""example""",string,l,"Total fuel consumed (cumulative). Measured in liters. Sources include CAN consumption, GPS-calculated fuel used, and counted fuel consumed.",", can_consumption_relative, avl_io_103 (Fuel Used GPS), avl_io_107 (Fuel Consumed (counted)), avl_io_83 (Fuel Consumed)",active,1.0.0,,,,
fuel_consumption_rate,fuel.consumption.rate,fuel,P2,direct,simple_value,"""example""",string,,Fuel rate,"(CAN Fuel Rate), avl_io_110 (Fuel Rate)",active,1.0.0,,,,
fuel_energy_cng_status,fuel.energy.cng_status,fuel,P2,direct,simple_value,"""example""",string,,CNG Status,(CNG Status),active,1.0.0,,,,
fuel_energy_fuel_type_code,fuel.energy.fuel_type_code,fuel,P2,direct,simple_value,"""example""",string,,0 Not available 1 Gasoline 2 Methanol 3 Ethanol 4 Diesel 5 LPG 6 CNG 7 Propane 8 Electric 9 Bifuel running Gasoline 1...,(Fuel Type),active,1.0.0,,,,
fuel_levels_unit,fuel.levels[].unit,fuel,P1,direct,simple_value,"""%""",string,,Unit for fuel level measurement (% or l),,active,1.0.0,,,,Added based on specification structure
