Name,Category,Computation Approach,Computation Structure JSON,Data Type,Description,Field Path,Field Type,Notes,Status,Unit,Version Added
engine_hours_value,counters,"Prioritized: Navixy can_engine_hours (path: params.can_engine_hours, priority 1), then Navixy avl_io_102 (path: params.avl_io_102, priority 2), then Navixy can_engine_hours_relative (path: params.can_engine_hours_relative, priority 3), then Navixy avl_io_449 (path: params.avl_io_449, priority 4) - Engine Hours counter in hours. CAN Engine Hours is preferred when available. Engine Worktime (avl_io_102) provides exact work time and should be coupled with asset.installation.initial_engine_hours (relative counter that starts incrementing from zero at first or can be reset by remote command). CAN Engine Hours Relative requires addition of asset.installation.initial_engine_hours offset to get absolute engine hours. Ignition On Counter (avl_io_449) is the last priority. Unit conversion: Some sources report in seconds, others in hours. Apply unit conversion as needed (divide seconds by 3600 to convert to hours). Offset handling: For relative counters (avl_io_102, can_engine_hours_relative), backend must add asset.installation.initial_engine_hours value to get absolute engine hours.",,number,Engine Hours counter.,counters.engine_hours.value,,"Prioritized mapping from multiple Navixy provider fields with priority order: 1. can_engine_hours (CAN Engine Hours) - preferred when available 2. avl_io_102 (Engine Worktime) - provides exact work time, should be coupled with asset.installation.initial_engine_hours (relative counter that starts incrementing from zero at first or can be reset by remote command) 3. can_engine_hours_relative (CAN Engine Hours Relative) - relative counter, requires addition of asset.installation.initial_engine_hours offset 4. avl_io_449 (Ignition On Counter) - last priority. Unit conversion: Some sources report in seconds, others in hours. Apply unit conversion as needed (divide seconds by 3600 to convert to hours). Offset handling: For relative counters (avl_io_102, can_engine_hours_relative), add asset.installation.initial_engine_hours value to get absolute engine hours.",planned,hours,1.0.3
engine_hours_last_updated_at,counters,"Calculated: derive from engine_hours_value and last_updated_at using derive_engine_hours_last_updated_at function. Set to last_updated_at (ISO8601 timestamp when Fleeti backend received the telemetry packet) whenever engine_hours_value is updated/received in the packet. Updates every time a new value for engine hours is received, regardless of whether the value changed. Same logic as other last_updated_at fields that track data freshness: indicates freshness of the data, not when the value last changed.",,datetime,Last time the Engine Hours counter has been updated.,counters.engine_hours.last_updated_at,,"Computed timestamp: Set to provider.time.fleeti_time (ISO8601 timestamp when Fleeti backend received the telemetry packet) whenever counters.engine_hours.value is updated/received in the packet. Updates every time a new value for engine hours is received, regardless of whether the value changed. Same logic as other last_updated_at fields: indicates freshness of the data, not when the value last changed.",planned,none,1.0.3
odometer_value,counters,"Prioritized: Navixy can_mileage (path: params.can_mileage, priority 1), then Navixy can_mileage_relative (path: params.can_mileage_relative, priority 2), then Navixy avl_io_389 (path: params.avl_io_389, priority 3), then Navixy obd_custom_odometer (path: params.obd_custom_odometer, priority 4), then Navixy avl_io_105 (path: params.avl_io_105, priority 5), then Navixy avl_io_16 (path: params.avl_io_16, priority 6), then Navixy avl_io_87 (path: params.avl_io_87, priority 7), then Navixy hw_mileage (path: params.hw_mileage, priority 8), then Navixy raw_mileage (path: params.raw_mileage, priority 9) - Odometer counter in kilometers. CAN Mileage is preferred when available. No offset applied: This is the raw counter value from the device. Installation offset (asset.installation.initial_odometer) is applied separately if needed.",,number,Odometer counter.,counters.odometer.value,,Prioritized mapping from multiple Navixy provider fields with priority order: 1. can_mileage (CAN Mileage) - preferred when available 2. can_mileage_relative (CAN Mileage Relative) 3. avl_io_389 (OBD OEM Total Mileage) 4. obd_custom_odometer (OBD Custom Odometer) 5. avl_io_105 (Total Mileage counted) 6. avl_io_16 (Total Odometer) 7. avl_io_87 (Total Mileage) 8. hw_mileage (Hardware Mileage) 9. raw_mileage (Raw Mileage). No offset applied: This is the raw counter value from the device. Installation offset (asset.installation.initial_odometer) is applied separately if needed.,planned,km,1.0.3
odometer_last_updated_at,counters,"Calculated: derive from odometer_value and last_updated_at using derive_odometer_last_updated_at function. Set to last_updated_at (ISO8601 timestamp when Fleeti backend received the telemetry packet) whenever odometer_value is updated/received in the packet. Updates every time a new value for odometer is received, regardless of whether the value changed. Same logic as other last_updated_at fields that track data freshness: indicates freshness of the data, not when the value last changed.",,datetime,Last time the odometer has been updated.,counters.odometer.last_updated_at,,"Computed timestamp: Set to provider.time.fleeti_time (ISO8601 timestamp when Fleeti backend received the telemetry packet) whenever counters.odometer.value is updated/received in the packet. Updates every time a new value for odometer is received, regardless of whether the value changed. Same logic as other last_updated_at fields: indicates freshness of the data, not when the value last changed.",planned,none,1.0.3
magnet[],sensors,"Calculated: derive from asset.accessories[].sensors[] metadata and telemetry provider fields using derive_sensors_magnet function (similar pattern to derive_sensors_environment). Function reads sensor configuration from asset metadata where each sensor has a provider_field array property listing which provider fields map to that sensor. Matches provider fields to sensors based on provider_field array in sensor metadata. Applies prioritized mapping with validation. If provider_field array is empty, fetches sensor configuration from Navixy API (GET https://api.navixy.com/v2/fsm/tracker/sensor/list) matching by sensor ID. Enriches provider fields with correspondences from matrix (maps processed Navixy fields to raw avl_io equivalents). Returns array of sensor objects with id, label, position, state, last_updated_at, and last_changed_at fields. Each array element represents one physical magnet sensor/accessory. Sensor identity (id, label, position) derived from asset.accessories[].sensors[] metadata. State values: Boolean (0 = no magnetic field detected, 1 = magnetic field detected). Provider fields: ble_magnet_sensor_1, ble_magnet_sensor_2, ble_magnet_sensor_3 (and corresponding avl_io fields if available). Validation: State values should be 0 or 1. Exclude invalid/error values.",,array,"Array of magnet sensors value (id, label, state, last_changed_at, last_updated_at)",sensors.magnet,,"Calculated: Derive from asset.accessories[].sensors[] metadata and telemetry provider fields using derive_sensors_magnet function (similar pattern to derive_sensors_environment). Function reads sensor configuration from asset metadata where each sensor has a provider_field array property listing which provider fields map to that sensor. Matches provider fields to sensors based on provider_field array in sensor metadata. Applies prioritized mapping with validation. If provider_field array is empty, fetches sensor configuration from Navixy API (GET https://api.navixy.com/v2/fsm/tracker/sensor/list) matching by sensor ID. Enriches provider fields with correspondences from matrix (maps processed Navixy fields to raw avl_io equivalents). Returns array of sensor objects with id, label, position, state, last_updated_at, and last_changed_at fields. Each array element represents one physical magnet sensor/accessory. Sensor identity (id, label, position) derived from asset.accessories[].sensors[] metadata. State values: Boolean (0 = no magnetic field detected, 1 = magnetic field detected). Provider fields: ble_magnet_sensor_1, ble_magnet_sensor_2, ble_magnet_sensor_3 (and corresponding avl_io fields if available). Validation: State values should be 0 or 1. Exclude invalid/error values.",planned,none,1.0.3
driver_name,driver,"Calculated: derive from driver_key using derive_driver_name function. Lookup driver_key (hardware key) in Fleeti driver catalog with state preservation logic. State preservation logic: If driver_key is not received or is null/empty in current packet, keep last known driver_name state (do not update). If new driver_key is received (different from previous value): Lookup hardware key in Fleeti driver catalog. If driver found in catalog, update driver_name with name from catalog. If driver not found in catalog (unknown driver), set driver_name to null (hardware_key will still be displayed). If driver_key is unchanged from previous packet, keep current driver_name state (even if telemetry resends the same hardware_key value). The hardware key comes from Navixy provider fields (see driver_key field for source priority). Backend determines key type (iButton vs RFID) based on device model and signal characteristics.",,string,Driver's name.,driver.driver_name,,"Computed: Lookup driver.driver_key (hardware key) in Fleeti driver catalog with state preservation logic. State preservation logic: If driver.driver_key is not received or is null/empty in current packet, keep last known driver_name state (do not update). If new driver.driver_key is received (different from previous value): Lookup hardware key in Fleeti driver catalog. If driver found in catalog, update driver_name with name from catalog. If driver not found in catalog (unknown driver), set driver_name to null (hardware_key will still be displayed). If driver.driver_key is unchanged from previous packet, keep current driver_name state (even if telemetry resends the same hardware_key value). The hardware key comes from Navixy provider fields (see driver_key field for source priority). Backend determines key type (iButton vs RFID) based on device model and signal characteristics.",planned,none,1.0.3
driver_key,driver,"Prioritized: Navixy avl_io_78 (path: params.avl_io_78, priority 1), then Navixy ibutton (path: ibutton, priority 2), then Navixy avl_io_207 (path: params.avl_io_207, priority 3) - Driver's authentication key. Hardware key identifier as hex string. Can be iButton or RFID code. iButton (avl_io_78) is preferred over processed field ibutton. Processed Navixy field ibutton is fallback if AVL_IO not available. RFID (avl_io_207) is third priority. Default preference: iButton over RFID (but both are never present simultaneously). Backend determines key type (iButton vs RFID) based on device model and signal characteristics. Used to lookup driver in Fleeti catalog (see driver_name computation for lookup logic).",,string,Driver's authentication key.,driver.driver_key,,"Prioritized mapping from Navixy provider fields: 1. avl_io_78 (iButton) - preferred (corresponds to iButton provider field, prefer AVL_IO format over processed field) 2. ibutton (iButton ID) - processed Navixy field (fallback if AVL_IO not available) 3. avl_io_207 (RFID). Hardware key identifier as hex string. Can be iButton or RFID code. Default preference: iButton over RFID (but both are never present simultaneously). Backend determines key type (iButton vs RFID) based on device model and signal characteristics. Used to lookup driver in Fleeti catalog (see driver_name computation for lookup logic).",planned,none,1.0.3
dtc_count,diagnostics,"Prioritized: Navixy obd_dtc_number (path: params.obd_dtc_number, priority 1), then Navixy avl_io_30 (path: params.avl_io_30, priority 2) - DTC Fault Codes Count. Integer value representing the number of Diagnostic Trouble Codes (DTCs) present. OBD DTC Count (obd_dtc_number) is preferred when available.",,number,DTC Fault Codes Count.,diagnostics.health.dtc.count,,Prioritized mapping from Navixy provider fields: 1. obd_dtc_number (OBD DTC Count) - preferred when available 2. avl_io_30 (Number of DTC). Integer value representing the number of Diagnostic Trouble Codes (DTCs) present.,planned,none,1.0.3
dtc_status,diagnostics,"Prioritized: Navixy obd_mil_status (path: params.obd_mil_status, priority 1), then Navixy avl_io_519 (path: params.avl_io_519, priority 2) - Malfunction indicator lamp status read from CAN. Malfunction Indicator Lamp (MIL) status. Values depend on source/protocol version. Typically: 0 = MIL off (no faults), 1 = MIL on (fault detected). Boolean value. OBD MIL Status (obd_mil_status) is preferred when available.",,boolean,Malfunction indicator lamp status read from CAN,diagnostics.health.dtc.status,,"Prioritized mapping from Navixy provider fields: 1. obd_mil_status (OBD MIL Status) - preferred when available 2. avl_io_519 (CAN MIL Status / can.mil.status) - Malfunction indicator lamp status read from CAN. Malfunction Indicator Lamp (MIL) status. Values depend on source/protocol version. Typically: 0 = MIL off (no faults), 1 = MIL on (fault detected). Boolean value.",planned,none,1.0.3
dtc_codes,diagnostics,Calculated: derive from provider fields avl_io_281 and avl_io_282 using derive_dtc_codes_combined function. Both provider fields are complementary sources that need to be serialized/combined. Array of Diagnostic Trouble Code objects or strings (display as-is from provider fields). Backend reads both avl_io_281 (path: params.avl_io_281) and avl_io_282 (path: params.avl_io_282) from telemetry packet and combines their DTC code arrays into a single array.,,array,DTC Fault Codes available through the CAN.,diagnostics.health.dtc.codes[],,"Direct mapping from Navixy provider fields (complementary sources): avl_io_281 (CAN DTC Array), avl_io_282 (CAN DTC Array). Both fields are considered complementary - serialize/combine DTC codes from both sources. Array of Diagnostic Trouble Code objects or strings (display as-is from provider fields).",planned,none,1.0.3
