Name,Category,Computation Approach,Computation Structure JSON,Data Type,Description,Field Path,Field Type,Notes,Status,Unit,Version Added
engine_hours_value,counters,"Prioritized mapping from multiple Navixy provider fields. CAN Engine Hours (can_engine_hours) is preferred when available as it provides absolute engine hours directly. Engine Worktime (avl_io_102) is a relative counter that starts from zero and requires addition of asset.installation.initial_engine_hours offset. Priorities 3 and 4 use add_installation_offset_engine_hours function to handle relative counters (avl_io_103, can_engine_hours_relative). Ignition On Counter (avl_io_449) is the last priority fallback. Unit conversion: Sources report in different units (seconds, minutes, hours) - backend applies conversion to hours as needed.","{
  ""type"": ""prioritized"",
  ""sources"": [
    {
      ""priority"": 1,
      ""field"": ""avl_io_102"",
      ""path"": ""params.avl_io_102"",
      ""unit"": ""minutes""
    },
    {
      ""priority"": 2,
      ""field"": ""can_engine_hours"",
      ""path"": ""params.can_engine_hours"",
      ""unit"": ""hours""
    },
    {
      ""priority"": 3,
      ""type"": ""calculated"",
      ""calculation_type"": ""function_reference"",
      ""function"": ""add_installation_offset_engine_hours"",
      ""parameters"": {
        ""provider"": {
          ""navixy"": ""avl_io_103""
        }
      },
      ""unit"": ""minutes""
    },
    {
      ""priority"": 4,
      ""type"": ""calculated"",
      ""calculation_type"": ""function_reference"",
      ""function"": ""add_installation_offset_engine_hours"",
      ""parameters"": {
        ""provider"": {
          ""navixy"": ""can_engine_hours_relative""
        }
      },
      ""unit"": ""hours""
    },
    {
      ""priority"": 5,
      ""field"": ""avl_io_449"",
      ""path"": ""params.avl_io_449"",
      ""unit"": ""seconds""
    }
  ]
}",number,Engine Hours counter.,counters.engine_hours.value,,"Prioritized mapping from multiple Navixy provider fields with priority order: 1. can_engine_hours (CAN Engine Hours) - preferred when available 2. avl_io_102 (Engine Worktime) - provides exact work time, should be coupled with asset.installation.initial_engine_hours (relative counter that starts incrementing from zero at first or can be reset by remote command) 3. can_engine_hours_relative (CAN Engine Hours Relative) - relative counter, requires addition of asset.installation.initial_engine_hours offset 4. avl_io_449 (Ignition On Counter) - last priority. Unit conversion: Some sources report in seconds, others in hours. Apply unit conversion as needed (divide seconds by 3600 to convert to hours). Offset handling: For relative counters (avl_io_102, can_engine_hours_relative), add asset.installation.initial_engine_hours value to get absolute engine hours.",planned,hours,1.0.3
engine_hours_last_updated_at,counters,"Calculated: derive from engine_hours_value and last_updated_at using derive_engine_hours_last_updated_at function. Tracks data freshness (when value was last received), not when the value changed.","{
  ""type"": ""calculated"",
  ""calculation_type"": ""function_reference"",
  ""function"": ""derive_engine_hours_last_updated_at"",
  ""parameters"": {
    ""fleeti"": [
      ""engine_hours_value"",
      ""last_updated_at""
    ]
  }
}",datetime,Last time the Engine Hours counter has been updated.,counters.engine_hours.last_updated_at,,"Computed timestamp: Set to provider.time.fleeti_time (ISO8601 timestamp when Fleeti backend received the telemetry packet) whenever counters.engine_hours.value is updated/received in the packet. Updates every time a new value for engine hours is received, regardless of whether the value changed. Same logic as other last_updated_at fields: indicates freshness of the data, not when the value last changed.",planned,none,1.0.3
odometer_value,counters,"Prioritized mapping from multiple Navixy provider fields. CAN Mileage (can_mileage) is preferred when available as it provides absolute odometer directly. Priorities 5 and 6 use add_installation_offset_odometer function to handle relative counters (avl_io_105, can_mileage_relative) which require addition of asset.installation.initial_odometer offset. Unit conversion: Sources reporting in meters (priorities 1, 3, 5, 7) are converted to kilometers (divide by 1000). This field stores raw counter values; installation offset is applied separately if needed.","{
  ""type"": ""prioritized"",
  ""sources"": [
    {
      ""priority"": 1,
      ""field"": ""avl_io_87"",
      ""path"": ""params.avl_io_87"",
      ""unit"": ""meters""
    },
    {
      ""priority"": 2,
      ""field"": ""can_mileage"",
      ""path"": ""params.can_mileage"",
      ""unit"": ""km""
    },
    {
      ""priority"": 3,
      ""field"": ""avl_io_389"",
      ""path"": ""params.avl_io_389"",
      ""unit"": ""meters""
    },
    {
      ""priority"": 4,
      ""field"": ""obd_custom_odometer"",
      ""path"": ""params.obd_custom_odometer"",
      ""unit"": ""km""
    },
    {
      ""priority"": 5,
      ""type"": ""calculated"",
      ""calculation_type"": ""function_reference"",
      ""function"": ""add_installation_offset_odometer"",
      ""parameters"": {
        ""provider"": {
          ""navixy"": ""avl_io_105""
        }
      },
      ""unit"": ""meters""
    },
    {
      ""priority"": 6,
      ""type"": ""calculated"",
      ""calculation_type"": ""function_reference"",
      ""function"": ""add_installation_offset_odometer"",
      ""parameters"": {
        ""provider"": {
          ""navixy"": ""can_mileage_relative""
        }
      },
      ""unit"": ""km""
    },
    {
      ""priority"": 7,
      ""field"": ""avl_io_16"",
      ""path"": ""params.avl_io_16"",
      ""unit"": ""meters""
    },
    {
      ""priority"": 8,
      ""field"": ""hw_mileage"",
      ""path"": ""params.hw_mileage"",
      ""unit"": ""km""
    }
  ]
}",number,Odometer counter.,counters.odometer.value,,Prioritized mapping from multiple Navixy provider fields with priority order: 1. can_mileage (CAN Mileage) - preferred when available 2. can_mileage_relative (CAN Mileage Relative) 3. avl_io_389 (OBD OEM Total Mileage) 4. obd_custom_odometer (OBD Custom Odometer) 5. avl_io_105 (Total Mileage counted) 6. avl_io_16 (Total Odometer) 7. avl_io_87 (Total Mileage) 8. hw_mileage (Hardware Mileage) 9. raw_mileage (Raw Mileage). No offset applied: This is the raw counter value from the device. Installation offset (asset.installation.initial_odometer) is applied separately if needed.,planned,km,1.0.3
odometer_last_updated_at,counters,"Calculated: derive from odometer_value and last_updated_at using derive_odometer_last_updated_at function. Tracks data freshness (when value was last received), not when the value changed.","{
  ""type"": ""calculated"",
  ""calculation_type"": ""function_reference"",
  ""function"": ""derive_odometer_last_updated_at"",
  ""parameters"": {
    ""fleeti"": [
      ""odometer_value"",
      ""last_updated_at""
    ]
  }
}",datetime,Last time the odometer has been updated.,counters.odometer.last_updated_at,,"Computed timestamp: Set to provider.time.fleeti_time (ISO8601 timestamp when Fleeti backend received the telemetry packet) whenever counters.odometer.value is updated/received in the packet. Updates every time a new value for odometer is received, regardless of whether the value changed. Same logic as other last_updated_at fields: indicates freshness of the data, not when the value last changed.",planned,none,1.0.3
magnet[],sensors,"Calculated: derive from asset.accessories[].sensors[] metadata and telemetry provider fields using derive_sensors_magnet function (similar pattern to derive_sensors_environment). Function reads sensor configuration from asset metadata where each sensor has a provider_field array property listing which provider fields map to that sensor. Matches provider fields to sensors based on provider_field array in sensor metadata. Applies prioritized mapping with validation. If provider_field array is empty, fetches sensor configuration from Navixy API (GET https://api.navixy.com/v2/fsm/tracker/sensor/list) matching by sensor ID. Enriches provider fields with correspondences from matrix (maps processed Navixy fields to raw avl_io equivalents). Returns array of sensor objects with id, label, position, state, last_updated_at, and last_changed_at fields. Each array element represents one physical magnet sensor/accessory. Sensor identity (id, label, position) derived from asset.accessories[].sensors[] metadata. State values: Boolean (0 = no magnetic field detected, 1 = magnetic field detected). Provider fields: ble_magnet_sensor_1, ble_magnet_sensor_2, ble_magnet_sensor_3 (and corresponding avl_io fields if available). Validation: State values should be 0 or 1. Exclude invalid/error values.",,array,"Array of magnet sensors value (id, label, state, last_changed_at, last_updated_at)",sensors.magnet,,"Calculated: Derive from asset.accessories[].sensors[] metadata and telemetry provider fields using derive_sensors_magnet function (similar pattern to derive_sensors_environment). Function reads sensor configuration from asset metadata where each sensor has a provider_field array property listing which provider fields map to that sensor. Matches provider fields to sensors based on provider_field array in sensor metadata. Applies prioritized mapping with validation. If provider_field array is empty, fetches sensor configuration from Navixy API (GET https://api.navixy.com/v2/fsm/tracker/sensor/list) matching by sensor ID. Enriches provider fields with correspondences from matrix (maps processed Navixy fields to raw avl_io equivalents). Returns array of sensor objects with id, label, position, state, last_updated_at, and last_changed_at fields. Each array element represents one physical magnet sensor/accessory. Sensor identity (id, label, position) derived from asset.accessories[].sensors[] metadata. State values: Boolean (0 = no magnetic field detected, 1 = magnetic field detected). Provider fields: ble_magnet_sensor_1, ble_magnet_sensor_2, ble_magnet_sensor_3 (and corresponding avl_io fields if available). Validation: State values should be 0 or 1. Exclude invalid/error values.",planned,none,1.0.3
driver_name,driver,Calculated: derive from driver_key using derive_driver_name function. Looks up hardware key in Fleeti driver catalog with state preservation logic. The hardware key comes from Navixy provider fields (see driver_key field for source priority). Backend determines key type (iButton vs RFID) based on device model and signal characteristics.,"{
  ""type"": ""calculated"",
  ""calculation_type"": ""function_reference"",
  ""function"": ""derive_driver_name"",
  ""parameters"": {
    ""fleeti"": [
      ""driver_key""
    ]
  }
}",string,Driver's name.,driver.driver_name,,"Computed: Lookup driver.driver_key (hardware key) in Fleeti driver catalog with state preservation logic. State preservation logic: If driver.driver_key is not received or is null/empty in current packet, keep last known driver_name state (do not update). If new driver.driver_key is received (different from previous value): Lookup hardware key in Fleeti driver catalog. If driver found in catalog, update driver_name with name from catalog. If driver not found in catalog (unknown driver), set driver_name to null (hardware_key will still be displayed). If driver.driver_key is unchanged from previous packet, keep current driver_name state (even if telemetry resends the same hardware_key value). The hardware key comes from Navixy provider fields (see driver_key field for source priority). Backend determines key type (iButton vs RFID) based on device model and signal characteristics.",planned,none,1.0.3
driver_key,driver,"Prioritized driver key from Navixy AVL I/O (iButton preferred), with `ibutton` as fallback and RFID last. Hardware key is a hex string (iButton or RFID). Backend infers key type from device model/signal. Used to resolve `driver_name` via Fleeti driver catalog.","{
  ""type"": ""prioritized"",
  ""sources"": [
    {
      ""priority"": 1,
      ""field"": ""avl_io_78"",
      ""path"": ""params.avl_io_78"",
      ""unit"": ""none""
    },
    {
      ""priority"": 2,
      ""field"": ""ibutton"",
      ""path"": ""ibutton"",
      ""unit"": ""none""
    },
    {
      ""priority"": 3,
      ""field"": ""avl_io_207"",
      ""path"": ""params.avl_io_207"",
      ""unit"": ""none""
    }
  ]
}",string,Driver's authentication key.,driver.driver_key,,"Prioritized mapping from Navixy provider fields: 1. avl_io_78 (iButton) - preferred (corresponds to iButton provider field, prefer AVL_IO format over processed field) 2. ibutton (iButton ID) - processed Navixy field (fallback if AVL_IO not available) 3. avl_io_207 (RFID). Hardware key identifier as hex string. Can be iButton or RFID code. Default preference: iButton over RFID (but both are never present simultaneously). Backend determines key type (iButton vs RFID) based on device model and signal characteristics. Used to lookup driver in Fleeti catalog (see driver_name computation for lookup logic).",planned,none,1.0.3
dtc_count,diagnostics,"Prioritized mapping from Navixy provider fields. Number of DTC (avl_io_30) is priority 1, OBD DTC Count (obd_dtc_number) is priority 2. Integer value representing the number of Diagnostic Trouble Codes (DTCs) present.","{
  ""type"": ""prioritized"",
  ""sources"": [
    {
      ""priority"": 1,
      ""field"": ""avl_io_30"",
      ""path"": ""params.avl_io_30"",
      ""unit"": ""none""
    },
    {
      ""priority"": 2,
      ""field"": ""obd_dtc_number"",
      ""path"": ""params.obd_dtc_number"",
      ""unit"": ""none""
    }
  ]
}",number,DTC Fault Codes Count.,diagnostics.health.dtc.count,,Prioritized mapping from Navixy provider fields: 1. obd_dtc_number (OBD DTC Count) - preferred when available 2. avl_io_30 (Number of DTC). Integer value representing the number of Diagnostic Trouble Codes (DTCs) present.,planned,none,1.0.3
dtc_status,diagnostics,"Prioritized mapping from Navixy provider fields. CAN MIL Status (avl_io_519) is priority 1, OBD MIL Status (obd_mil_status) is priority 2. Malfunction Indicator Lamp (MIL) status read from CAN. Values: 0 = MIL off (no faults), 1 = MIL on (fault detected). Boolean value.","{
  ""type"": ""prioritized"",
  ""sources"": [
    {
      ""priority"": 1,
      ""field"": ""avl_io_519"",
      ""path"": ""params.avl_io_519"",
      ""unit"": ""none""
    },
    {
      ""priority"": 2,
      ""field"": ""obd_mil_status"",
      ""path"": ""params.obd_mil_status"",
      ""unit"": ""none""
    }
  ]
}",boolean,Malfunction indicator lamp status read from CAN,diagnostics.health.dtc.status,,"Prioritized mapping from Navixy provider fields: 1. obd_mil_status (OBD MIL Status) - preferred when available 2. avl_io_519 (CAN MIL Status / can.mil.status) - Malfunction indicator lamp status read from CAN. Malfunction Indicator Lamp (MIL) status. Values depend on source/protocol version. Typically: 0 = MIL off (no faults), 1 = MIL on (fault detected). Boolean value.",planned,none,1.0.3
dtc_codes,diagnostics,Calculated: derive from provider fields avl_io_281 and avl_io_282 using derive_dtc_codes_combined function. Both fields are complementary sources that need to be combined into a single array.,"{
  ""type"": ""calculated"",
  ""calculation_type"": ""function_reference"",
  ""function"": ""derive_dtc_codes_combined"",
  ""parameters"": {
    ""provider"": {
      ""navixy"": [
        ""avl_io_281"",
        ""avl_io_282""
      ]
    }
  }
}",array,DTC Fault Codes available through the CAN.,diagnostics.health.dtc.codes[],,"Direct mapping from Navixy provider fields (complementary sources): avl_io_281 (CAN DTC Array), avl_io_282 (CAN DTC Array). Both fields are considered complementary - serialize/combine DTC codes from both sources. Array of Diagnostic Trouble Code objects or strings (display as-is from provider fields).",planned,none,1.0.3
