Name,Backend Function Name,Calculation Type,Computation Approach,Configuration Level,Default Value,Dependencies,Error Handling,Fleeti Data Type,Fleeti Field,Fleeti Field Path,Fleeti Unit,Function Parameters,I/O Mapping Config,Mapping Type,Notes,Priority JSON,Provider,Provider Field Paths,Provider Fields,Provider Unit,Service Integration,Status,Transformation Rule,Unit Conversion,Version Added,💽 YAML Configurations (db)
location.latitude from Navixy,,,,default,,,,number,location_latitude (https://www.notion.so/location_latitude-2ca3e766c9018183a4bee9dc39aca7e4?pvs=21),location.latitude,degrees,,,direct,Direct mapping: Latitude in decimal degrees,,navixy,lat,lat (https://www.notion.so/lat-2c73e766c901812bb29fdd17260022c1?pvs=21),°,,planned,,,1.0.0,navixy-v1.0.0 (https://www.notion.so/navixy-v1-0-0-2cc3e766c901803b909ac2580a5551c1?pvs=21)
location.longitude from Navixy,,,,default,,,,number,location_longitude (https://www.notion.so/location_longitude-2ca3e766c9018187a2d5f688c85c2e55?pvs=21),location.longitude,degrees,,,direct,Direct mapping: Longitude in decimal degrees,,navixy,lng,lng (https://www.notion.so/lng-2c73e766c90181908795d204fb2d7e0e?pvs=21),°,,planned,,,1.0.0,navixy-v1.0.0 (https://www.notion.so/navixy-v1-0-0-2cc3e766c901803b909ac2580a5551c1?pvs=21)
location.altitude from Navixy,,,,default,,,,number,location_altitude (https://www.notion.so/location_altitude-2ca3e766c90181028694d44bbc045c90?pvs=21),location.altitude,meters,,,direct,Direct mapping: Altitude in meters,,navixy,alt,alt (https://www.notion.so/alt-2c73e766c90181d3ab40d01bbd630c14?pvs=21),m,,planned,,,1.0.0,navixy-v1.0.0 (https://www.notion.so/navixy-v1-0-0-2cc3e766c901803b909ac2580a5551c1?pvs=21)
location.heading from Navixy,,,,default,,,,number,location_heading (https://www.notion.so/location_heading-2ca3e766c901813a9f0ce33be59ecb26?pvs=21),location.heading,degrees,,,direct,Direct mapping: Heading in degrees (0-359),,navixy,heading,heading (https://www.notion.so/heading-2c73e766c901812c80d1fec777d9e06e?pvs=21),°,,planned,,,1.0.0,navixy-v1.0.0 (https://www.notion.so/navixy-v1-0-0-2cc3e766c901803b909ac2580a5551c1?pvs=21)
location.precision.fix_quality from Navixy,,,,default,,,,number,location_precision_fix_quality (https://www.notion.so/location_precision_fix_quality-2ca3e766c90181ef99c3c1c6a12243f4?pvs=21),location.precision.fix_quality,none,,,direct,"Direct mapping: 0 - GNSS OFF 1 – GNSS ON with fix 2 - GNSS ON without fix 3 - GNSS sleep 4 - GNSS ON with fix, invalid data",,navixy,params.avl_io_69,avl_io_69 (https://www.notion.so/avl_io_69-2c73e766c901815089c2e5d586571ddc?pvs=21),,,planned,,,1.0.0,navixy-v1.0.0 (https://www.notion.so/navixy-v1-0-0-2cc3e766c901803b909ac2580a5551c1?pvs=21)
location.precision.satellites from Navixy,,,,default,,,,number,location_precision_satellites (https://www.notion.so/location_precision_satellites-2ca3e766c90181239aa3fc1f92fdbe0a?pvs=21),location.precision.satellites,none,,,direct,Direct mapping: Number of satellites in fix,,navixy,satellites,satellites (https://www.notion.so/satellites-2c73e766c901817bb6c8f212f06b6869?pvs=21),-,,planned,,,1.0.0,navixy-v1.0.0 (https://www.notion.so/navixy-v1-0-0-2cc3e766c901803b909ac2580a5551c1?pvs=21)
location.precision.hdop from Navixy,,,,default,,,use_fallback,number,location_precision_hdop (https://www.notion.so/location_precision_hdop-2ca3e766c90181949968c99df059a882?pvs=21),location.precision.hdop,none,,,prioritized,Prioritized mapping: Horizontal Dilution of Precision,"[{""priority"": 1, ""field"": ""hdop""}, {""priority"": 2, ""field"": ""avl_io_182""}]",navixy,"hdop,params.avl_io_182","hdop (https://www.notion.so/hdop-2c73e766c90181b2bbb5d3b9897da50b?pvs=21), avl_io_182 (https://www.notion.so/avl_io_182-2c73e766c9018174bfa4ede8516cb088?pvs=21)",-,,planned,,,1.0.0,navixy-v1.0.0 (https://www.notion.so/navixy-v1-0-0-2cc3e766c901803b909ac2580a5551c1?pvs=21)
location.precision.pdop from Navixy,,,,default,,,use_fallback,number,location_precision_pdop (https://www.notion.so/location_precision_pdop-2ca3e766c90181dcba57dd07a6f0990e?pvs=21),location.precision.pdop,none,,,prioritized,Prioritized mapping: Position Dilution of Precision,"[{""priority"": 1, ""field"": ""pdop""}, {""priority"": 2, ""field"": ""avl_io_181""}]",navixy,"pdop,params.avl_io_181","pdop (https://www.notion.so/pdop-2c73e766c9018142a3c2d1eacaf15871?pvs=21), avl_io_181 (https://www.notion.so/avl_io_181-2c73e766c901812fa834e5dee8092548?pvs=21)",,,planned,,,1.0.0,navixy-v1.0.0 (https://www.notion.so/navixy-v1-0-0-2cc3e766c901803b909ac2580a5551c1?pvs=21)
location.cardinal_direction from Navixy,derive_cardinal_direction,function_reference,"Derived from location.heading
dirs = [""N"",""NE"",""E"",""SE"",""S"",""SW"",""W"",""NW""];
cardinal = dirs[Math.floor((heading + 22.5) % 360 / 45)];",default,,location_heading,,string,location_cardinal_direction (https://www.notion.so/location_cardinal_direction-2ca3e766c9018173a9efe4bfbd957016?pvs=21),location.cardinal_direction,none,"{""heading"": ""location_heading""}",,calculated,"Calculated field: Cardinal direction (N, NE, E, SE, S, SW, W, NW)",,navixy,,,,,planned,,,1.0.0,navixy-v1.0.0 (https://www.notion.so/navixy-v1-0-0-2cc3e766c901803b909ac2580a5551c1?pvs=21)
location.geocoded_address from Navixy,derive_geocoded_address,function_reference,Use external API (Google) to convert latitude and longitude into geocoded address.,default,,"location_latitude, location_longitude",,string,location_geocoded_address (https://www.notion.so/location_geocoded_address-2ca3e766c901811f8982c8d979b795b3?pvs=21),location.geocoded_address,none,"{""latitude"": ""location_latitude"", ""longitude"": ""location_longitude""}",,calculated,Calculated field: Single string representation of the location,,navixy,,,,,planned,,,1.0.0,navixy-v1.0.0 (https://www.notion.so/navixy-v1-0-0-2cc3e766c901803b909ac2580a5551c1?pvs=21)
location.last_changed_at from Navixy,derive_last_changed_at,function_reference,"Backend compares current position with previous.
if (lat !== prev.lat || lon !== prev.lon) {
location_last_changed_at= now();
}",default,,"location_latitude, location_longitude",,datetime,location_last_changed_at (https://www.notion.so/location_last_changed_at-2ca3e766c901819f990ee8b9e2447410?pvs=21),location.last_changed_at,none,"{""latitude"": ""location_latitude"", ""longitude"": ""location_longitude""}",,calculated,"Calculated field: Unix Epoch timestamp (milliseconds, number) when location/heading last changed significantly (threshold applied to filter GPS noise). Used for dwell-time calculations and ""parked since X"" features.",,navixy,,,,,planned,,,1.0.0,navixy-v1.0.0 (https://www.notion.so/navixy-v1-0-0-2cc3e766c901803b909ac2580a5551c1?pvs=21)
